import_id,date,ticker,type,quantity,price_per_share,total_amount,currency,fx_rate
529,31/01/2022 15:59:11,AMZN,BUY,0.04231106,2954.31,125,USD,0.00317
530,01/02/2022 5:55:23,JPM,DIVIDEND,,,1.12,USD,0.003191
532,01/02/2022 17:42:41,TROW,BUY,0.48958809,153.19,75,USD,0.003191
533,01/02/2022 17:43:14,AVGO,BUY,0.3927998,585.54,230,USD,0.003191
534,01/02/2022 17:43:38,BLK,BUY,0.11510407,825.34,95,USD,0.003191
535,01/02/2022 17:43:54,NEE,BUY,0.98000784,76.53,75,USD,0.003191
536,01/02/2022 17:44:15,JPM,BUY,0.5004671,149.86,75,USD,0.003191
537,01/02/2022 17:44:33,PYPL,BUY,0.43350095,173.01,75,USD,0.003191
538,01/02/2022 17:44:51,HD,BUY,0.20470549,366.38,75,USD,0.003191
539,01/02/2022 17:45:17,COST,BUY,0.20080624,503.57,101.12,USD,0.003191
540,02/02/2022 5:27:50,VZ,DIVIDEND,,,2.97,USD,0.003228
541,02/02/2022 5:49:43,,CUSTODY_FEE,,,-1.74,USD,0.003228
543,08/02/2022 16:00:03,,CASH WITHDRAWAL,,,-141.23,USD,0.003236
544,10/02/2022 5:51:14,MA,DIVIDEND,,,0.66,USD,0.003183
545,15/02/2022 05:43:41,AAPL,DIVIDEND,,,1.61,USD,0.003205
547,15/02/2022 14:30:22,CRM,BUY,0.48600484,210.43,102.27,USD,0.003205
548,16/02/2022 05:45:03,ABBV,DIVIDEND,,,4.17,USD,0.003188
549,16/02/2022 05:50:48,O,DIVIDEND,,,1.78,USD,0.003188
550,22/02/2022 05:28:05,COST,DIVIDEND,,,0.66,USD,0.003132
551,02/03/2022 5:50:59,V,DIVIDEND,,,0.76,USD,0.002908
552,02/03/2022 11:29:07,,CUSTODY_FEE,,,-1.72,USD,0.002908
553,09/03/2022 6:06:05,JNJ,DIVIDEND,,,2.14,USD,0.002889
554,11/03/2022 5:42:02,MSFT,DIVIDEND,,,2.67,USD,0.002853
555,14/03/2022 05:02:41,HON,DIVIDEND,,,1.23,USD,0.002952
556,16/03/2022 05:24:29,O,DIVIDEND,,,1.78,USD,0.002984
557,17/03/2022 04:27:47,NEE,DIVIDEND,,,1.5,USD,0.002945
558,22/03/2022 04:29:51,D,DIVIDEND,,,2.37,USD,0.002943
559,24/03/2022 05:23:15,BLK,DIVIDEND,,,2.02,USD,0.002944
560,25/03/2022 05:07:16,HD,DIVIDEND,,,2.95,USD,0.002944
561,31/03/2022 04:23:35,TROW,DIVIDEND,,,3.31,USD,0.003
562,01/04/2022 5:24:43,AVGO,DIVIDEND,,,3.4,USD,0.0030177
